[u'Scottsdale Pet Sitting Company - Curious Tails'],[u'https://www.curioustails.com/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'http://www.curioustails.com/contact-us/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'tel:+1-480-725-9752'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.curioustails.com/pet-sitting-services/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.curioustails.com/who-we-are/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.curioustails.com/pet-sitting-reviews/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.curioustails.com/gallery/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.curioustails.com/contact-us/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://instagram.com/curioustails/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.facebook.com/curioustails'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://twitter.com/curioustails'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[u'pet professionals'],[u'http://www.curioustails.com/who-we-are/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
"[u'from the zoo, to the clinic and out at the dog park']",[u'http://www.curioustails.com/who-we-are/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[u'pet sitting services'],[u'http://www.curioustails.com/pet-sitting-services/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.curioustails.com/pet-sitting-services/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[u'Pet Sitting Services'],[u'https://www.curioustails.com/pet-sitting-services/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.curioustails.com/who-we-are/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[u'Who We Are'],[u'https://www.curioustails.com/who-we-are/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.curioustails.com/pet-sitting-reviews/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[u'Pet Sitting Reviews'],[u'https://www.curioustails.com/pet-sitting-reviews/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[u'Click to recieve a free month of BarkBox!'],[u'https://barkbox.com/r/XLFVSJHQLI'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://barkbox.com/r/XLFVSJHQLI'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'http://www.petsitllc.com/pet_sitter_profile.phtml/61FBABCFAF/scottsdale/az/curious_tails/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'http://www.pettech.net'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[u'Pet Sitters Associates'],[u'http://www.petsitllc.com/pet_sitter_profile.phtml/61FBABCFAF/scottsdale/az/curious_tails/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[u'PetTech'],[u'http://www.pettech.net/index.php'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[u'\r\n'],[u'http://www.curioustails.com'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'mailto:woof@curioustails.com'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'tel:+1-480-725-9752'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[u'Scottsdale Pet Sitting Company - Curious Tails'],[u'https://www.curioustails.com/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'http://www.curioustails.com/contact-us/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'tel:+1-480-725-9752'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.curioustails.com/pet-sitting-services/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.curioustails.com/who-we-are/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.curioustails.com/pet-sitting-reviews/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.curioustails.com/gallery/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.curioustails.com/contact-us/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://instagram.com/curioustails/'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://www.facebook.com/curioustails'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
[],[u'https://twitter.com/curioustails'],[u'Scottsdale Pet Sitting Service - Curious Tails Pet Sitting']
